Résultats du scan :
IP;Nombre_de_ports_ouverts
172.16.0.2;1
172.16.0.51;3
172.16.0.81;1
172.16.0.88;4
172.16.0.89;4
172.16.0.96;2
172.16.0.155;3
172.16.0.185;2
172.16.0.248;1
172.16.0.252;3
172.16.0.253;3
172.16.0.77;3
Scan terminé. Résultats enregistrés dans : /home/sow/rt-r504/nmap/scan-result_1.csv
